FSC-A,SSC-A,DC-SIGN,HLA-DR,CD56,CCR6,CD45RA,CD4,CD69,CD8a,FoxP3,CD16,CD14,CD49a,CD163,CD3,CCR7,RORyt,T-bet,NKp46,CD11c,CD127,CD86,CD20,Eomes
1.62E+06,327715,-807.063,-421.299,1104.73,-1186.28,349147,9306.02,1270.11,42478.2,1661.87,2120.53,1816.37,2799.59,-917.872,25338.5,615.62,-10988.6,28381.7,-664.073,-90.3897,2082.6,311.261,618.879,768.506
1.54E+06,313018,-252.961,864.152,158.376,-3702.3,128274,-949.001,13895.9,50662.6,385.717,2204.24,1059.31,-474.357,239.977,24345.2,-26.2227,-859.338,34218.4,-198.243,253.866,-759.692,441.637,1820.21,-716.232
1.96E+06,1.85E+06,-4038.1,343452,361133,-4315.82,41193.6,-2890.25,2335.8,-1085.51,-1279.88,1407.99,14094.3,3083.62,3963.54,1028.86,6729.17,5070.69,559.257,2339.17,158603,1056.91,181386,-1693.1,2763.79
1.50E+06,544316,845.306,-176.898,359.093,-1464.55,19357,-257.191,1418.47,16436.1,299.493,829.925,411.968,2385.51,-67.7147,74746.4,3211.49,2496.34,9076.22,-179.931,425.703,6498.88,297.201,351.184,2829.93
1.34E+06,540072,-798.627,-867.079,-44.4082,-1655.78,5225.18,14369.1,16435.1,2483.5,-290.882,-118.389,560.103,-344.437,500.866,39029.5,-484.665,1307.62,24974.5,287.66,-703.724,-967.832,8193.63,-93.9168,1093.57
2.22E+06,2.33E+06,1248.08,99305,134444,-5577.7,2404.79,18420.3,244.602,2576.16,-3144.14,6631.96,211776,35870.3,96396.2,10450.4,6685.25,5423.58,3232.96,485.76,25404.1,2933.54,10908.6,-469.834,1993.11
2.08E+06,1.50E+06,18573.3,530128,122272,-7457.98,35021.6,204.925,757.304,94.6113,-975.562,35404.9,26139.4,2657.27,14197.5,2858.43,5856.95,24505.3,558.149,1635.43,57294.4,6909.47,104940,1730.71,10227.6
1.50E+06,547831,-585.361,9762.06,99678,-4610.49,381790,-329.041,11372.6,100650,-103.01,-1003.14,249.932,3564.3,-142.181,1941.17,2279.76,6328.81,4667.14,8611.06,4086.18,308.261,171.413,1815.19,9874.37
1.48E+06,373230,-908.724,-963.426,918.74,-60.5779,277042,-473.632,2694.99,153400,590.708,3488.47,2287.97,1123.64,42.4441,34934.9,-1317.5,-7163.75,45086.3,1060.31,1115,-459.249,19.8789,-1419.53,2887.18
2.14E+06,1.04E+06,-1655.19,119494,23208.6,-2405.47,112199,-2470.28,960.409,-104.223,-80.8841,142086,-5673.09,4546.25,-2670.78,411.078,-1122.21,6752.91,716.416,-743.306,154822,349.815,22824.9,-523.807,1862.46
1.26E+06,316791,-1809.19,665.048,-487.228,-2005.65,12608.2,7461.08,-486.595,11264,-63.7717,297.764,15.5081,356.959,1029.12,19161,-236.216,2117.94,65130.7,-1488.53,-460.956,-243.844,1104.4,1425.2,119.724
