"FSC-A","SSC-A","DC-SIGN","HLA-DR","CD56","CD45","CCR6","CD45RA","CD4","CD69","CD8a","FoxP3","CD16","CD14","CD49a","CD163","CD3","CCR7","RORyt","T-bet","NKp46","CD11c","CD127","CD86","CD20","Eomes","Time"
2.21255e+06,1.10042e+06,7084.04,53002.2,80689.8,89015.6,-2578.27,20848.3,-132.698,20.0656,-410.284,-5.52679,1081.47,25300,1845.71,-613.505,1480.91,727.879,7051.67,-193.351,727.629,460.06,1768.68,8471.98,1169.61,1868.66,3.39235
2.52176e+06,1.35379e+06,-2354.33,204880,144450,77848.9,-152.071,-730.176,1454.24,912.612,-846.841,-183.026,453.791,247.15,4099.92,1292.4,196.516,2836.34,4094.74,1718.97,59.0146,23861.7,979.276,3979.3,-511.688,1799.77,3.43026
1.48259e+06,686636,233.245,-142.621,83641.8,52112.7,-3014.3,568005,-1973,17413.8,28781,367.28,2499.01,2160.58,5407.89,214.652,1232.09,336.703,-1652.5,1130.46,12626.4,7231.78,1013.33,-382.055,13655.1,5395.84,3.43336
2.26176e+06,1.72001e+06,-1717.4,338487,40024.3,42035.5,-1140.5,1146.94,857.714,1120.79,361.6,185.073,-1751.6,73468.3,2115.06,-222.918,1228.43,2170.53,830.734,734.475,-770.072,12138.3,315.244,9425.03,-455.008,-993.648,3.52509
1.91114e+06,1.03417e+06,-834.034,74001.4,73546.9,54815.4,-1210.61,51192.1,328.517,-379.099,500.027,-1.4118,102.558,11455.5,132.057,4761.59,221.659,-164.023,6083.66,1370.41,230.703,2276.85,144.794,6841.6,309.53,1660.86,3.54269
2.24039e+06,1.80077e+06,-3391.24,300378,139276,73471,-1934.53,-76.0038,2336.55,1196.61,1773.29,-369.818,-2072.65,52196.5,-326.836,-4.96167,1159.21,1919.7,2978.54,435.52,1128.79,22297.5,178.74,24583.9,357.464,1803.32,3.54469
1.66667e+06,888063,543.92,120062,21621.2,50515.8,-76.4003,13972.5,-56.2802,328.473,-814.69,-186.26,803.234,22039,75.9342,-378.321,487.495,-802.818,3342.53,-120.243,-380.818,9627.57,-578.849,8049.06,919.52,226.738,3.59971
3.0603e+06,1.20295e+06,11572.4,234257,111508,89945.5,-4015.88,19718.2,1907.87,592.877,-893.548,-754.91,107.105,79590.9,2466.22,4463.25,2886.92,1762.88,7004.73,1196.53,-463.274,15553.4,4159.56,17130.2,-759.892,7744.72,3.85338
1.59962e+06,602625,1590.65,32204.6,996.535,46307.2,-1771.08,419547,-951.405,-934.896,780.161,115.257,1238.24,2008.06,101.827,22.909,825.134,4061.49,5610.27,-944.929,415.951,752.642,-588.861,490.26,65829,-851.154,3.86208
1.65571e+06,357750,-491.327,1548.12,-326.193,16741.5,-3149.32,354517,199.599,10693.2,108731,333.148,2427.26,1249.82,5445.75,566.178,20750.5,2061.88,3484.03,19537.1,209.624,-881.446,442.011,5682.83,-405.21,2546.33,3.9304
